Timestamp, P1rms (A), P2rms (A), P3rms (A), P4rms (A), P5rms (A), Vrms (V), P1 theta, P2 theta, P3 theta, P4 theta, P5 theta
Mon Sep 30 00:00:34 2013, 31, 29, 488, 467, 480, 48, 7, 8, 0, 0, 56
Mon Sep 30 00:00:35 2013, 34, 35, 479, 463, 475, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:36 2013, 35, 33, 485, 468, 477, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:37 2013, 34, 37, 484, 473, 474, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:38 2013, 28, 31, 489, 467, 479, 48, 7, 6, 0, 0, 54
Mon Sep 30 00:00:39 2013, 32, 29, 488, 467, 476, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:40 2013, 34, 33, 487, 465, 475, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:41 2013, 34, 34, 484, 462, 470, 48, 2, 2, 0, 0, 52
Mon Sep 30 00:00:42 2013, 35, 34, 491, 462, 474, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:43 2013, 32, 38, 484, 471, 477, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:00 2013, 31, 29, 487, 466, 477, 47, 7, 7, 0, 0, 54
Mon Sep 30 00:00:01 2013, 29, 31, 487, 468, 478, 47, 1, 7, 0, 0, 54
Mon Sep 30 00:00:02 2013, 33, 34, 488, 465, 473, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:03 2013, 35, 35, 483, 464, 475, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:04 2013, 33, 38, 487, 464, 481, 47, 2, 7, 0, 0, 56
Mon Sep 30 00:00:05 2013, 28, 26, 488, 467, 479, 47, 7, 7, 0, 0, 54
Mon Sep 30 00:00:06 2013, 33, 31, 487, 465, 475, 47, 7, 7, 0, 0, 54
Mon Sep 30 00:00:07 2013, 34, 35, 487, 467, 479, 47, 3, 3, 0, 0, 54
Mon Sep 30 00:00:08 2013, 34, 33, 482, 462, 479, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:09 2013, 34, 34, 487, 461, 476, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:10 2013, 36, 40, 486, 468, 479, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:11 2013, 31, 30, 487, 466, 479, 47, 7, 7, 0, 0, 54
Mon Sep 30 00:00:12 2013, 33, 34, 488, 467, 479, 47, 7, 8, 0, 0, 54
Mon Sep 30 00:00:13 2013, 35, 34, 486, 465, 476, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:14 2013, 33, 33, 488, 465, 474, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:15 2013, 34, 38, 483, 469, 479, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:16 2013, 29, 27, 487, 465, 480, 47, 3, 2, 0, 0, 56
Mon Sep 30 00:00:17 2013, 31, 30, 490, 467, 477, 47, 3, 2, 0, 0, 54
Mon Sep 30 00:00:18 2013, 35, 34, 483, 465, 478, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:19 2013, 34, 32, 489, 466, 474, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:20 2013, 34, 33, 487, 465, 478, 47, 1, 3, 0, 0, 54
Mon Sep 30 00:00:21 2013, 35, 38, 489, 465, 477, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:22 2013, 30, 34, 490, 465, 480, 47, 6, 6, 0, 0, 56
Mon Sep 30 00:00:23 2013, 29, 33, 488, 467, 477, 47, 7, 6, 0, 0, 54
Mon Sep 30 00:00:24 2013, 36, 34, 486, 467, 476, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:25 2013, 32, 34, 484, 465, 476, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:26 2013, 34, 38, 488, 467, 478, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:27 2013, 29, 32, 487, 469, 477, 47, 6, 6, 0, 0, 54
Mon Sep 30 00:00:28 2013, 33, 33, 490, 468, 478, 47, 6, 6, 0, 0, 54
Mon Sep 30 00:00:29 2013, 34, 33, 487, 466, 474, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:30 2013, 34, 35, 486, 466, 474, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:31 2013, 35, 35, 491, 465, 477, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:32 2013, 33, 35, 491, 468, 476, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:33 2013, 31, 31, 485, 467, 478, 47, 6, 7, 0, 0, 54
Mon Sep 30 00:00:34 2013, 33, 31, 489, 468, 479, 47, 6, 6, 0, 0, 54
Mon Sep 30 00:00:35 2013, 33, 34, 491, 462, 476, 47, 1, 4, 0, 0, 54
Mon Sep 30 00:00:36 2013, 33, 34, 486, 462, 476, 47, 1, 3, 0, 0, 54
Mon Sep 30 00:00:37 2013, 31, 36, 484, 472, 479, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:38 2013, 31, 30, 486, 466, 478, 47, 7, 7, 0, 0, 54
Mon Sep 30 00:00:39 2013, 31, 30, 489, 468, 478, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:40 2013, 36, 33, 481, 466, 475, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:41 2013, 35, 33, 485, 466, 477, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:42 2013, 34, 35, 487, 460, 476, 47, 2, 2, 0, 0, 54
Mon Sep 30 00:00:43 2013, 34, 39, 488, 464, 473, 47, 1, 2, 0, 0, 54
Mon Sep 30 00:00:00 2013, 27, 27, 486, 468, 477, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:01 2013, 27, 31, 489, 467, 476, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:02 2013, 34, 35, 487, 467, 474, 48, 2, 7, 0, 0, 54
Mon Sep 30 00:00:03 2013, 34, 35, 489, 465, 479, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:04 2013, 33, 39, 485, 469, 477, 48, 2, 3, 0, 0, 54
Mon Sep 30 00:00:05 2013, 26, 27, 488, 466, 476, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:06 2013, 32, 28, 486, 467, 476, 48, 4, 4, 0, 0, 54
Mon Sep 30 00:00:07 2013, 35, 34, 490, 468, 471, 48, 2, 2, 0, 0, 52
Mon Sep 30 00:00:08 2013, 35, 34, 488, 469, 474, 48, 2, 3, 0, 0, 54
Mon Sep 30 00:00:09 2013, 34, 33, 487, 466, 473, 48, 1, 3, 0, 0, 54
Mon Sep 30 00:00:10 2013, 38, 34, 488, 468, 478, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:11 2013, 28, 27, 488, 467, 475, 48, 7, 8, 0, 0, 54
Mon Sep 30 00:00:12 2013, 33, 31, 489, 467, 477, 48, 7, 6, 0, 0, 54
Mon Sep 30 00:00:13 2013, 33, 34, 489, 466, 478, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:14 2013, 35, 33, 485, 464, 478, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:15 2013, 35, 40, 487, 465, 475, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:16 2013, 26, 31, 489, 466, 475, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:17 2013, 28, 28, 488, 466, 477, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:18 2013, 34, 34, 485, 465, 474, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:19 2013, 35, 33, 484, 463, 477, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:20 2013, 35, 33, 487, 466, 477, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:21 2013, 34, 40, 484, 469, 480, 48, 1, 2, 0, 0, 56
Mon Sep 30 00:00:22 2013, 28, 29, 488, 466, 479, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:23 2013, 34, 33, 487, 467, 477, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:24 2013, 33, 31, 489, 466, 473, 48, 1, 3, 0, 0, 54
Mon Sep 30 00:00:25 2013, 34, 34, 485, 467, 480, 48, 2, 3, 0, 0, 56
Mon Sep 30 00:00:26 2013, 34, 39, 490, 468, 479, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:27 2013, 27, 28, 489, 467, 477, 48, 7, 8, 0, 0, 54
Mon Sep 30 00:00:28 2013, 28, 27, 488, 465, 477, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:29 2013, 35, 34, 489, 465, 478, 48, 2, 3, 0, 0, 54
Mon Sep 30 00:00:30 2013, 33, 35, 486, 468, 477, 48, 1, 3, 0, 0, 54
Mon Sep 30 00:00:31 2013, 35, 33, 488, 468, 476, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:32 2013, 33, 39, 488, 463, 473, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:33 2013, 27, 29, 488, 467, 478, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:34 2013, 28, 28, 489, 465, 476, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:35 2013, 32, 35, 487, 463, 474, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:36 2013, 35, 35, 484, 465, 475, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:37 2013, 34, 38, 488, 473, 479, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:38 2013, 25, 28, 488, 468, 478, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:39 2013, 29, 29, 487, 465, 477, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:40 2013, 36, 35, 484, 469, 477, 48, 3, 2, 0, 0, 54
Mon Sep 30 00:00:41 2013, 34, 35, 490, 471, 482, 48, 3, 2, 0, 0, 56
Mon Sep 30 00:00:42 2013, 34, 34, 487, 466, 478, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:43 2013, 38, 34, 488, 471, 479, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:00 2013, 29, 28, 489, 465, 478, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:01 2013, 30, 33, 487, 466, 477, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:02 2013, 35, 34, 483, 469, 475, 45, 2, 3, 0, 0, 54
Mon Sep 30 00:00:03 2013, 34, 33, 486, 460, 479, 45, 1, 2, 0, 0, 54
Mon Sep 30 00:00:04 2013, 33, 35, 487, 465, 478, 45, 1, 2, 0, 0, 54
Mon Sep 30 00:00:05 2013, 29, 32, 487, 469, 478, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:06 2013, 31, 28, 487, 465, 476, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:07 2013, 33, 35, 484, 466, 480, 45, 2, 2, 0, 0, 56
Mon Sep 30 00:00:08 2013, 34, 34, 486, 466, 477, 45, 2, 2, 0, 0, 54
Mon Sep 30 00:00:09 2013, 34, 33, 485, 468, 475, 45, 2, 2, 0, 0, 54
Mon Sep 30 00:00:10 2013, 32, 37, 486, 462, 483, 45, 3, 2, 0, 0, 56
Mon Sep 30 00:00:11 2013, 27, 27, 487, 468, 478, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:12 2013, 31, 27, 486, 467, 476, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:13 2013, 34, 34, 489, 465, 474, 45, 2, 3, 0, 0, 54
Mon Sep 30 00:00:14 2013, 34, 35, 487, 464, 475, 45, 1, 2, 0, 0, 54
Mon Sep 30 00:00:15 2013, 34, 37, 487, 467, 478, 45, 1, 2, 0, 0, 54
Mon Sep 30 00:00:16 2013, 29, 29, 488, 468, 478, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:17 2013, 30, 33, 486, 468, 477, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:18 2013, 33, 35, 490, 466, 477, 45, 2, 2, 0, 0, 54
Mon Sep 30 00:00:19 2013, 34, 35, 489, 460, 474, 45, 2, 2, 0, 0, 54
Mon Sep 30 00:00:20 2013, 33, 35, 488, 468, 472, 45, 2, 2, 0, 0, 54
Mon Sep 30 00:00:21 2013, 38, 33, 488, 466, 482, 45, 2, 2, 0, 0, 56
Mon Sep 30 00:00:22 2013, 28, 29, 490, 467, 476, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:23 2013, 30, 31, 489, 467, 476, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:24 2013, 34, 33, 487, 464, 478, 45, 2, 2, 0, 0, 54
Mon Sep 30 00:00:25 2013, 36, 36, 481, 468, 471, 45, 3, 3, 0, 0, 52
Mon Sep 30 00:00:26 2013, 39, 35, 485, 467, 477, 45, 1, 2, 0, 0, 54
Mon Sep 30 00:00:27 2013, 27, 29, 488, 468, 479, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:28 2013, 32, 32, 488, 466, 477, 45, 4, 2, 0, 0, 54
Mon Sep 30 00:00:29 2013, 35, 34, 483, 470, 475, 45, 3, 2, 0, 0, 54
Mon Sep 30 00:00:30 2013, 33, 34, 486, 464, 474, 45, 2, 2, 0, 0, 54
Mon Sep 30 00:00:31 2013, 34, 33, 488, 468, 471, 45, 2, 2, 0, 0, 52
Mon Sep 30 00:00:32 2013, 34, 39, 490, 464, 478, 45, 2, 2, 0, 0, 54
Mon Sep 30 00:00:33 2013, 29, 32, 489, 466, 479, 45, 7, 7, 0, 0, 54
Mon Sep 30 00:00:34 2013, 33, 31, 489, 468, 477, 45, 2, 2, 0, 0, 54
Mon Sep 30 00:00:35 2013, 34, 35, 489, 464, 476, 45, 1, 2, 0, 0, 54
Mon Sep 30 00:00:36 2013, 35, 34, 484, 467, 479, 45, 1, 2, 0, 0, 54
Mon Sep 30 00:00:37 2013, 35, 38, 488, 471, 477, 45, 1, 2, 0, 0, 54
Mon Sep 30 00:00:38 2013, 64, 66, 442, 420, 432, 45, 8, 8, 0, 0, 44
Mon Sep 30 00:00:39 2013, 62, 63, 434, 414, 433, 45, 8, 8, 0, 0, 44
Mon Sep 30 00:00:40 2013, 36, 36, 491, 467, 476, 45, 1, 2, 0, 0, 54
Mon Sep 30 00:00:41 2013, 38, 39, 488, 464, 480, 45, 2, 4, 0, 0, 56
Mon Sep 30 00:00:42 2013, 37, 35, 488, 467, 478, 45, 2, 5, 0, 0, 54
Mon Sep 30 00:00:43 2013, 35, 40, 488, 471, 479, 45, 3, 2, 0, 0, 54
Mon Sep 30 00:00:00 2013, 65, 63, 449, 427, 438, 48, 8, 8, 0, 0, 44
Mon Sep 30 00:00:01 2013, 66, 68, 433, 408, 426, 48, 8, 8, 0, 0, 42
Mon Sep 30 00:00:02 2013, 35, 35, 487, 467, 475, 48, 1, 8, 0, 0, 54
Mon Sep 30 00:00:03 2013, 37, 37, 487, 466, 480, 48, 2, 2, 0, 0, 56
Mon Sep 30 00:00:04 2013, 37, 30, 487, 468, 479, 48, 5, 2, 0, 0, 54
Mon Sep 30 00:00:05 2013, 73, 71, 439, 412, 415, 48, 8, 8, 0, 0, 38
Mon Sep 30 00:00:06 2013, 60, 62, 443, 421, 427, 48, 8, 8, 0, 0, 42
Mon Sep 30 00:00:07 2013, 36, 38, 490, 468, 479, 48, 1, 3, 0, 0, 54
Mon Sep 30 00:00:08 2013, 39, 36, 490, 471, 479, 48, 1, 3, 0, 0, 54
Mon Sep 30 00:00:09 2013, 43, 43, 491, 471, 480, 48, 1, 2, 0, 0, 56
Mon Sep 30 00:00:10 2013, 31, 25, 473, 460, 478, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:11 2013, 91, 93, 364, 340, 355, 48, 8, 8, 0, 0, 24
Mon Sep 30 00:00:12 2013, 92, 94, 362, 336, 362, 48, 8, 7, 0, 0, 26
Mon Sep 30 00:00:13 2013, 36, 33, 488, 467, 479, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:14 2013, 36, 37, 491, 469, 479, 48, 2, 7, 0, 0, 54
Mon Sep 30 00:00:15 2013, 38, 30, 480, 468, 479, 48, 5, 4, 0, 0, 54
Mon Sep 30 00:00:16 2013, 71, 75, 427, 404, 416, 48, 8, 8, 0, 0, 40
Mon Sep 30 00:00:17 2013, 75, 76, 415, 392, 416, 48, 8, 7, 0, 0, 40
Mon Sep 30 00:00:18 2013, 42, 39, 485, 468, 481, 48, 5, 5, 0, 0, 56
Mon Sep 30 00:00:19 2013, 40, 41, 488, 468, 480, 48, 13, 2, 0, 0, 56
Mon Sep 30 00:00:20 2013, 38, 37, 488, 471, 478, 48, 11, 2, 0, 0, 54
Mon Sep 30 00:00:21 2013, 30, 34, 489, 471, 480, 48, 1, 2, 0, 0, 56
Mon Sep 30 00:00:22 2013, 84, 87, 419, 396, 409, 48, 8, 8, 0, 0, 38
Mon Sep 30 00:00:23 2013, 65, 72, 403, 374, 396, 48, 8, 8, 0, 0, 34
Mon Sep 30 00:00:24 2013, 42, 40, 491, 467, 479, 48, 6, 11, 0, 0, 54
Mon Sep 30 00:00:25 2013, 36, 38, 490, 469, 476, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:26 2013, 37, 29, 488, 470, 480, 48, 2, 2, 0, 0, 56
Mon Sep 30 00:00:27 2013, 70, 74, 426, 401, 412, 48, 8, 8, 0, 0, 38
Mon Sep 30 00:00:28 2013, 30, 31, 486, 466, 475, 48, 7, 6, 0, 0, 54
Mon Sep 30 00:00:29 2013, 33, 34, 486, 465, 473, 48, 1, 3, 0, 0, 54
Mon Sep 30 00:00:30 2013, 33, 34, 488, 463, 476, 48, 3, 2, 0, 0, 54
Mon Sep 30 00:00:31 2013, 33, 35, 485, 467, 476, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:32 2013, 34, 38, 485, 469, 479, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:33 2013, 30, 29, 488, 468, 477, 48, 7, 6, 0, 0, 54
Mon Sep 30 00:00:34 2013, 31, 30, 488, 468, 478, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:35 2013, 34, 34, 491, 469, 472, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:36 2013, 34, 35, 486, 464, 474, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:37 2013, 32, 39, 486, 470, 474, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:38 2013, 33, 32, 492, 467, 478, 48, 7, 7, 0, 0, 54
Mon Sep 30 00:00:39 2013, 32, 32, 490, 469, 478, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:40 2013, 33, 33, 488, 464, 477, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:41 2013, 34, 31, 487, 465, 475, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:42 2013, 34, 33, 484, 468, 478, 48, 2, 3, 0, 0, 54
Mon Sep 30 00:00:43 2013, 33, 38, 486, 468, 480, 48, 2, 3, 0, 0, 56
Mon Sep 30 00:00:00 2013, 28, 31, 490, 469, 479, 49, 7, 7, 0, 0, 54
Mon Sep 30 00:00:01 2013, 31, 31, 488, 468, 478, 49, 2, 8, 0, 0, 54
Mon Sep 30 00:00:02 2013, 35, 35, 483, 463, 477, 49, 2, 2, 0, 0, 54
Mon Sep 30 00:00:03 2013, 33, 34, 487, 466, 477, 49, 1, 3, 0, 0, 54
Mon Sep 30 00:00:04 2013, 35, 37, 490, 471, 479, 49, 2, 2, 0, 0, 54
Mon Sep 30 00:00:05 2013, 33, 32, 489, 467, 478, 49, 7, 7, 0, 0, 54
Mon Sep 30 00:00:06 2013, 31, 30, 489, 466, 480, 49, 6, 6, 0, 0, 56
Mon Sep 30 00:00:07 2013, 34, 34, 488, 468, 469, 49, 3, 3, 0, 0, 52
Mon Sep 30 00:00:08 2013, 35, 34, 490, 470, 478, 49, 1, 2, 0, 0, 54
Mon Sep 30 00:00:09 2013, 32, 34, 486, 467, 476, 49, 2, 3, 0, 0, 54
Mon Sep 30 00:00:10 2013, 35, 39, 491, 471, 475, 49, 2, 2, 0, 0, 54
Mon Sep 30 00:00:11 2013, 31, 32, 489, 470, 478, 49, 6, 7, 0, 0, 54
Mon Sep 30 00:00:12 2013, 32, 32, 492, 469, 480, 49, 6, 6, 0, 0, 56
Mon Sep 30 00:00:13 2013, 34, 33, 487, 463, 475, 49, 2, 2, 0, 0, 54
Mon Sep 30 00:00:14 2013, 33, 33, 487, 467, 479, 49, 3, 2, 0, 0, 54
Mon Sep 30 00:00:15 2013, 34, 37, 487, 468, 481, 49, 2, 3, 0, 0, 56
Mon Sep 30 00:00:16 2013, 33, 31, 490, 468, 479, 49, 1, 6, 0, 0, 54
Mon Sep 30 00:00:17 2013, 34, 33, 488, 468, 479, 49, 1, 2, 0, 0, 54
Mon Sep 30 00:00:18 2013, 34, 34, 488, 464, 479, 49, 1, 2, 0, 0, 54
Mon Sep 30 00:00:19 2013, 33, 34, 482, 461, 474, 49, 2, 2, 0, 0, 54
Mon Sep 30 00:00:20 2013, 31, 33, 485, 464, 478, 49, 3, 3, 0, 0, 54
Mon Sep 30 00:00:21 2013, 35, 34, 489, 464, 472, 49, 1, 3, 0, 0, 54
Mon Sep 30 00:00:22 2013, 33, 33, 489, 467, 478, 49, 2, 4, 0, 0, 54
Mon Sep 30 00:00:23 2013, 34, 35, 490, 468, 483, 49, 3, 2, 0, 0, 56
Mon Sep 30 00:00:24 2013, 33, 33, 490, 468, 473, 49, 3, 3, 0, 0, 54
Mon Sep 30 00:00:25 2013, 33, 32, 487, 460, 477, 49, 3, 2, 0, 0, 54
Mon Sep 30 00:00:26 2013, 34, 39, 490, 467, 477, 49, 2, 2, 0, 0, 54
Mon Sep 30 00:00:27 2013, 33, 32, 487, 471, 478, 49, 3, 2, 0, 0, 54
Mon Sep 30 00:00:28 2013, 32, 32, 490, 469, 478, 49, 7, 2, 0, 0, 54
Mon Sep 30 00:00:29 2013, 35, 34, 484, 465, 476, 49, 2, 2, 0, 0, 54
Mon Sep 30 00:00:30 2013, 32, 33, 488, 469, 475, 49, 2, 3, 0, 0, 54
Mon Sep 30 00:00:31 2013, 33, 33, 490, 465, 474, 49, 2, 2, 0, 0, 54
Mon Sep 30 00:00:32 2013, 38, 34, 486, 470, 479, 49, 2, 3, 0, 0, 54
Mon Sep 30 00:00:33 2013, 29, 33, 490, 465, 480, 49, 7, 2, 0, 0, 56
Mon Sep 30 00:00:34 2013, 32, 33, 490, 467, 480, 49, 1, 2, 0, 0, 56
Mon Sep 30 00:00:35 2013, 34, 35, 490, 467, 474, 49, 1, 2, 0, 0, 54
Mon Sep 30 00:00:36 2013, 32, 35, 486, 463, 475, 49, 3, 2, 0, 0, 54
Mon Sep 30 00:00:37 2013, 34, 35, 490, 465, 473, 49, 3, 3, 0, 0, 54
Mon Sep 30 00:00:38 2013, 34, 34, 490, 469, 478, 49, 1, 2, 0, 0, 54
Mon Sep 30 00:00:39 2013, 36, 34, 490, 467, 480, 49, 2, 2, 0, 0, 56
Mon Sep 30 00:00:40 2013, 32, 33, 486, 465, 477, 49, 3, 3, 0, 0, 54
Mon Sep 30 00:00:41 2013, 33, 34, 487, 469, 475, 49, 3, 3, 0, 0, 54
Mon Sep 30 00:00:42 2013, 29, 34, 480, 461, 480, 49, 3, 3, 0, 0, 56
Mon Sep 30 00:00:43 2013, 35, 37, 488, 462, 478, 49, 2, 3, 0, 0, 54
Mon Sep 30 00:00:00 2013, 33, 34, 489, 468, 479, 48, 6, 2, 0, 0, 54
Mon Sep 30 00:00:01 2013, 34, 34, 489, 468, 478, 48, 3, 3, 0, 0, 54
Mon Sep 30 00:00:02 2013, 32, 33, 490, 465, 478, 48, 3, 2, 0, 0, 54
Mon Sep 30 00:00:03 2013, 33, 32, 487, 466, 477, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:04 2013, 35, 38, 488, 466, 478, 48, 2, 3, 0, 0, 54
Mon Sep 30 00:00:05 2013, 33, 37, 491, 468, 481, 48, 7, 7, 0, 0, 56
Mon Sep 30 00:00:06 2013, 38, 35, 490, 468, 480, 48, 3, 2, 0, 0, 56
Mon Sep 30 00:00:07 2013, 32, 32, 491, 464, 473, 48, 5, 3, 0, 0, 54
Mon Sep 30 00:00:08 2013, 33, 34, 488, 470, 473, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:09 2013, 33, 34, 483, 469, 480, 48, 1, 3, 0, 0, 56
Mon Sep 30 00:00:10 2013, 35, 37, 491, 463, 475, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:11 2013, 37, 36, 489, 468, 479, 48, 4, 3, 0, 0, 54
Mon Sep 30 00:00:12 2013, 39, 33, 492, 468, 477, 48, 3, 3, 0, 0, 54
Mon Sep 30 00:00:13 2013, 33, 34, 485, 466, 477, 48, 3, 3, 0, 0, 54
Mon Sep 30 00:00:14 2013, 31, 33, 485, 465, 476, 48, 3, 3, 0, 0, 54
Mon Sep 30 00:00:15 2013, 33, 37, 489, 464, 479, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:16 2013, 34, 33, 490, 471, 479, 48, 2, 3, 0, 0, 54
Mon Sep 30 00:00:17 2013, 39, 35, 488, 470, 480, 48, 1, 3, 0, 0, 56
Mon Sep 30 00:00:18 2013, 33, 33, 490, 464, 474, 48, 1, 4, 0, 0, 54
Mon Sep 30 00:00:19 2013, 32, 33, 484, 467, 478, 48, 1, 3, 0, 0, 54
Mon Sep 30 00:00:20 2013, 33, 33, 487, 464, 467, 48, 1, 2, 0, 0, 52
Mon Sep 30 00:00:21 2013, 33, 37, 486, 467, 479, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:22 2013, 34, 34, 491, 468, 477, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:23 2013, 37, 36, 489, 467, 479, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:24 2013, 32, 32, 487, 469, 477, 48, 4, 4, 0, 0, 54
Mon Sep 30 00:00:25 2013, 33, 33, 488, 463, 474, 48, 2, 3, 0, 0, 54
Mon Sep 30 00:00:26 2013, 33, 36, 485, 470, 477, 48, 2, 5, 0, 0, 54
Mon Sep 30 00:00:27 2013, 32, 36, 489, 470, 480, 48, 1, 6, 0, 0, 56
Mon Sep 30 00:00:28 2013, 34, 32, 491, 469, 478, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:29 2013, 33, 35, 481, 463, 476, 48, 4, 4, 0, 0, 54
Mon Sep 30 00:00:30 2013, 32, 30, 480, 467, 473, 48, 1, 4, 0, 0, 54
Mon Sep 30 00:00:31 2013, 30, 31, 491, 466, 477, 48, 2, 4, 0, 0, 54
Mon Sep 30 00:00:32 2013, 38, 36, 488, 466, 481, 48, 2, 3, 0, 0, 56
Mon Sep 30 00:00:33 2013, 36, 32, 488, 468, 479, 48, 2, 6, 0, 0, 54
Mon Sep 30 00:00:34 2013, 34, 33, 490, 467, 478, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:35 2013, 31, 32, 484, 463, 477, 48, 1, 2, 0, 0, 54
Mon Sep 30 00:00:36 2013, 33, 32, 485, 465, 476, 48, 3, 4, 0, 0, 54
Mon Sep 30 00:00:37 2013, 36, 37, 489, 467, 475, 48, 2, 2, 0, 0, 54
Mon Sep 30 00:00:38 2013, 39, 39, 490, 469, 480, 48, 1, 3, 0, 0, 56
Mon Sep 30 00:00:39 2013, 38, 36, 488, 469, 480, 48, 2, 2, 0, 0, 56
Mon Sep 30 00:00:40 2013, 34, 33, 484, 467, 480, 48, 5, 5, 0, 0, 56
Mon Sep 30 00:00:41 2013, 31, 34, 485, 460, 475, 48, 1, 4, 0, 0, 54
