Timestamp, P1rms (A), P2rms (A), P3rms (A), P4rms (A), P5rms (A), Vrms (V), P1 theta, P2 theta, P3 theta, P4 theta, P5 theta
Mon Sep 30 00:00:17 2013, 129, 130, 168, 159, 175, 42, 8, 8, 9, 9, 43
Mon Sep 30 00:00:18 2013, 106, 106, 283, 272, 284, 42, 8, 8, 0, 0, 6
Mon Sep 30 00:00:19 2013, 105, 105, 287, 275, 289, 42, 8, 8, 0, 0, 8
Mon Sep 30 00:00:20 2013, 102, 97, 318, 305, 319, 42, 8, 7, 0, 0, 14
Mon Sep 30 00:00:21 2013, 86, 110, 255, 290, 317, 42, 6, 7, 0, 0, 14
Mon Sep 30 00:00:22 2013, 128, 128, 179, 170, 181, 42, 8, 8, 9, 9, 45
Mon Sep 30 00:00:23 2013, 128, 129, 165, 159, 174, 42, 8, 8, 9, 10, 43
Mon Sep 30 00:00:24 2013, 88, 89, 316, 302, 316, 42, 8, 8, 0, 0, 14
Mon Sep 30 00:00:25 2013, 91, 92, 315, 301, 313, 42, 8, 8, 0, 0, 14
Mon Sep 30 00:00:26 2013, 88, 108, 253, 313, 336, 42, 8, 8, 0, 0, 20
Mon Sep 30 00:00:27 2013, 118, 118, 237, 222, 231, 42, 8, 8, 0, 0, 56
Mon Sep 30 00:00:28 2013, 118, 119, 226, 210, 231, 42, 8, 8, 0, 39, 56
Mon Sep 30 00:00:29 2013, 88, 87, 326, 310, 314, 42, 8, 8, 0, 0, 14
Mon Sep 30 00:00:30 2013, 91, 91, 318, 302, 314, 42, 8, 8, 0, 0, 14
Mon Sep 30 00:00:31 2013, 79, 78, 334, 321, 346, 42, 8, 8, 0, 0, 22
Mon Sep 30 00:00:32 2013, 90, 111, 230, 271, 295, 42, 8, 9, 0, 0, 8
Mon Sep 30 00:00:33 2013, 124, 128, 189, 174, 180, 42, 8, 8, 7, 9, 44
Mon Sep 30 00:00:34 2013, 126, 127, 178, 169, 188, 42, 8, 8, 8, 9, 46
Mon Sep 30 00:00:35 2013, 72, 73, 339, 325, 335, 42, 8, 8, 0, 0, 18
Mon Sep 30 00:00:36 2013, 71, 72, 349, 332, 344, 42, 8, 8, 0, 0, 22
Mon Sep 30 00:00:37 2013, 85, 110, 266, 299, 324, 42, 8, 9, 0, 0, 16
Mon Sep 30 00:00:38 2013, 124, 124, 187, 177, 188, 42, 8, 8, 8, 8, 46
Mon Sep 30 00:00:39 2013, 125, 125, 181, 180, 202, 42, 8, 8, 8, 9, 50
Mon Sep 30 00:00:40 2013, 87, 89, 333, 316, 327, 42, 15, 15, 0, 0, 16
Mon Sep 30 00:00:41 2013, 75, 75, 346, 331, 342, 42, 21, 21, 0, 0, 20
Mon Sep 30 00:00:42 2013, 71, 72, 357, 342, 352, 42, 8, 8, 0, 0, 24
Mon Sep 30 00:00:43 2013, 79, 108, 282, 310, 335, 42, 8, 9, 0, 0, 18
Mon Sep 30 00:00:00 2013, 121, 123, 209, 199, 210, 43, 8, 8, 39, 40, 52
Mon Sep 30 00:00:01 2013, 383, 385, 150, 139, 145, 43, 9, 9, 9, 10, 36
Mon Sep 30 00:00:02 2013, 337, 340, 314, 298, 307, 43, 2, 2, 0, 0, 12
Mon Sep 30 00:00:03 2013, 355, 357, 265, 248, 259, 43, 2, 2, 0, 0, 0
Mon Sep 30 00:00:04 2013, 356, 368, 206, 235, 259, 43, 2, 3, 8, 0, 0
Mon Sep 30 00:00:05 2013, 382, 392, 161, 151, 157, 43, 3, 3, 9, 9, 39
Mon Sep 30 00:00:06 2013, 386, 395, 133, 132, 136, 43, 7, 7, 12, 12, 34
Mon Sep 30 00:00:07 2013, 345, 349, 281, 265, 276, 43, 2, 2, 0, 0, 4
Mon Sep 30 00:00:08 2013, 352, 355, 256, 238, 246, 43, 2, 2, 0, 0, 60
Mon Sep 30 00:00:09 2013, 358, 361, 247, 232, 243, 43, 2, 2, 0, 0, 60
Mon Sep 30 00:00:10 2013, 372, 366, 204, 221, 237, 43, 8, 7, 8, 0, 58
Mon Sep 30 00:00:11 2013, 402, 405, 139, 147, 142, 43, 3, 3, 13, 13, 35
Mon Sep 30 00:00:12 2013, 399, 402, 135, 141, 131, 43, 4, 4, 13, 14, 32
